track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,emotion,confidence
44f68Zu5X9gJ44ziVnaYoR,La Despedida,Daddy Yankee,7,4MAUxicEf2ZyY569TJNBdk,Daddy Yankee Mundial,2010-04-26,Reggaeton viejito🔥,0si5tw70PIgPkY1Eva6V8f,latin,reggaeton,0.746,0.993,2,-2.134,0,0.0499,0.0866,0.0548,0.0689,0.972,122.046,202827,veera,0.9887999999999999
3xN4zbuUZvGev7c9D0BbTM,Be Sharp Say Nowt - Original Mix,Patrick Topping,48,1Wx6VPrYYhN56cBE99izlc,Be Sharp Say Nowt,2017-11-03,💊ELECTRO-HOUSE-TECH💊,0AFYmoSuoMQiGGjzvBwr6u,edm,electro house,0.813,0.992,1,-6.203,1,0.0574,0.00194,0.871,0.0957,0.961,126.001,444000,veera,0.9851000000000001
0qJDy1QsmmnZt343XTzxQd,Can't Get Enough! - Vocal Club Mix,Soulsearcher,52,6DZRjWOhvrKPhskYeCi2Jm,Can't Get Enough,1998,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.747,0.973,4,-6.415,0,0.037,0.000362,0.565,0.308,0.983,128.127,412973,veera,0.9841
7vHkU1H73z5NVbGTIyI1DG,Around The World,Aqua,0,2vb252Haz9iX4iOd7vP8kX,Greatest Hits,2009-01-01,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.705,0.975,6,-3.847,1,0.0312,0.00332,0.000182,0.537,0.969,129.934,209120,veera,0.9806999999999999
7fRvtXvJMpGfTLdF0M09a1,Talking In Your Sleep,The Romantics,60,0LMfbsue7HETT4P8Mqxbvg,In Heat,1983-02-14,Permanent Wave CHDB,2foj4ZYVHRGqSd1aMqNPBj,rock,permanent wave,0.72,0.967,9,-4.434,0,0.0343,0.0289,0.000345,0.142,0.977,129.766,235093,veera,0.9799
1udmmE0jgD8xLIDW3Bb7Y5,La Carretera,Javiera Mena,0,3BEtvyK449N9l2NiXsjSmq,Otra Era,2014-10-28,This Is: Javiera Mena,37i9dQZF1DWSOvcBNdfJ87,pop,electropop,0.648,0.971,1,-4.052,0,0.0419,0.016,0.000874,0.153,0.97,131.973,289151,veera,0.9794
4TQeNHx85xcP9YRkvJC6K1,Walkin' On The Sun,Smash Mouth,64,1CsztoJYGwGURMCppulrOt,Fush Yu Mang (20th Anniversary Edition),1997-07-08,Permanent Wave,2ExyzXAbukW7I8bDqdGvPB,rock,permanent wave,0.745,0.972,6,-5.598,1,0.0316,0.346,0.0,0.148,0.968,123.067,207787,veera,0.9792000000000001
1Oof977AMg2ZHlTPrLAIgI,La Evolución,David Blanco,11,3YTH4U8b7uHTRjK7MHB0aA,La Evolución,2009-09-21,Cuban vibes only,6VWXakL2ojgiVC01I271e2,r&b,urban contemporary,0.808,0.965,10,-3.679,0,0.0317,0.0028,0.0,0.536,0.974,120.012,228000,veera,0.9782
1qo1dnwguBAbiqRNd3oTEi,Body Work,Pickle,54,5qgPhM185R7H3W8htqTeye,Body Work,2019-04-08,Electro House - by Spinnin' Records,4pVZ70y8vzzkn2GVwQbQw8,edm,electro house,0.772,0.974,0,-4.444,1,0.0677,0.0214,0.873,0.0901,0.961,126.005,196190,veera,0.9779
2Y90nL1ohB4sgYELDs7uNx,Glory Days,Bruce Springsteen,67,0PMasrHdpaoIRuHuhHp72O,Born In The U.S.A.,1984-06-04,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.574,0.96,9,-4.906,1,0.032,0.0457,0.0,0.121,0.978,117.486,254733,veera,0.9774
2q9cjGRCXwJcp3YchwAQQV,Show Me How You Love Me (Freestyle Club),Elissa,2,5RduPAmuHvjCWV19vrDwDX,Show Me How You Love Me (Do You Love Me),2009-08-28,80's Freestyle/Disco Dance Party (Set Crossfade to 4-Seconds),1oReEujyWpQv2OX68BVPPA,latin,latin hip hop,0.89,0.964,8,-4.699,1,0.0589,0.0829,0.0585,0.221,0.97,126.012,303961,veera,0.9765999999999999
28fkptp3jDebDqBXAOjlG8,Amor De Feisbuk (Facebook),Danilo Parra,9,0vGLsbFEj5516YMwBZ94je,El Mejor Hombre Del Mundo,2014-10-20,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.767,0.961,0,-4.437,1,0.0499,0.0718,1.21e-06,0.0628,0.967,110.026,188067,veera,0.9744999999999999
7kKI6RZNOYdAHqOcqS93oC,Tanz die Revolution (Der Single Mix),Frozen Plasma,0,0J0Ll3k0cuxxusK0tEseCT,Tanz die Revolution,2008-09-19,Gothic / Industrial / Mittelalter / EBM / Futurepop / Gothik / Electropop,53CmFroG6MWR5reOOXJX6B,pop,electropop,0.613,0.989,4,-3.349,0,0.0323,0.0172,2.14e-05,0.115,0.928,129.997,286000,veera,0.974
0JufJHXVWc2cQsWXgZMbKV,Te Quiero Amar - Remix,Pasabordo,0,7apwBLmfSUh2W9TURW7kO1,Pasabordo,2015-06-29,MIX LATIN POP°,6IS6XTdbS9qJZgfjNKgpB8,latin,latin pop,0.717,0.962,4,-2.217,1,0.0556,0.21,0.0,0.308,0.963,118.017,216587,veera,0.9737
34zbPJOhBLVd4sYbHSV7nr,Dub-I-Dub,Me & My,49,4WmrKyFBuGY2ygFrRqMUVH,Me & My,1995,90s Dance Hits,50cXvxgMGrvoUeLhkzCyIO,pop,dance pop,0.658,0.96,7,-6.251,1,0.0474,0.066,1.38e-05,0.154,0.961,136.005,205000,veera,0.9722999999999999
03L9G5TQGdhASEknspRIZQ,BARRACA (feat. MC Pikachu),Garmiani,50,2s4IDihyyANNAeV3eYnnwc,BARRACA (feat. MC Pikachu),2019-05-03,"Festival Music 2019 - Warm Up Music (EDM, Big Room & Progressive House)",73uj4YmsC7SJ6SbUMTvf07,edm,progressive electro house,0.708,0.984,5,-1.262,0,0.0747,0.2,0.38,0.351,0.929,128.031,150020,veera,0.9722999999999999
3PDWPFwYvEGlgcAgDP1ZCs,BARRACA,Garmiani,45,7bojwP01bQB85Lenh0semG,BARRACA,2019-03-11,PAROOKAVILLE - Big Room,6vbHQdtfmexb0ptmBSpemm,edm,big room,0.782,0.979,5,-1.817,0,0.0663,0.184,0.624,0.326,0.935,127.922,150020,veera,0.9721
1oG2vWELiGjIqxwqGcyqwF,You Really Got Me,The Kinks,16,3hXXoaAA09avxBSSxtPIaL,Kinks (Super Deluxe Edition),1964-10-02,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,veera,0.9719
1oG2vWELiGjIqxwqGcyqwF,You Really Got Me,The Kinks,16,3hXXoaAA09avxBSSxtPIaL,Kinks (Super Deluxe Edition),1964-10-02,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07e-05,0.1,0.961,137.377,133933,veera,0.9719
5fbR5XxBRLGMue3QKtDgF3,The Village - 2015 Remaster,New Order,45,6NTrwu1XJ56jBPx7HMksbZ,Power Corruption and Lies,1983-05-02,"""Permanent Wave""",3HjTMn6O6adW8vcSMnqmhw,rock,permanent wave,0.608,0.957,0,-7.095,1,0.0302,0.000884,0.291,0.164,0.96,131.575,277120,veera,0.9708000000000001
70mkLFWSI7m32pryOXcjsl,Superlove (Avicii vs. Lenny Kravitz) - Radio Edit,Avicii,0,7onscBjmH0yvdGWcdJrVfW,Running Songs: The Collection,2015-12-11,2011-2014 House,53Ga3Xt9fumdJfhNNSBvzU,edm,progressive electro house,0.601,0.951,9,-3.138,0,0.0426,0.271,0.84,0.146,0.968,127.959,179531,veera,0.9708000000000001
4F3J8TtDGK8wQNk6ggMObb,Te Quiero Amar - Remix,Pasabordo,0,0jvBmzxqfd8KXhCnv4Bd75,Te Quiero Amar (Remix),2013-04-30,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.744,0.952,4,-2.406,1,0.0487,0.28,0.0,0.351,0.964,117.999,217444,veera,0.97
3I8yVFjvJoOBM9tX4ZpxEL,Ryd,Steve Lacy,60,47DbvIExnHbqAhIuzBAO9W,Steve Lacy's Demo,2017-02-24,Urban Contemporary,4Pbs84EQbuAblxlp6Chz0d,r&b,urban contemporary,0.784,0.94,9,-7.327,0,0.054,0.0716,0.000171,0.133,0.979,137.003,140182,veera,0.9697
3I8yVFjvJoOBM9tX4ZpxEL,Ryd,Steve Lacy,60,47DbvIExnHbqAhIuzBAO9W,Steve Lacy's Demo,2017-02-24,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.784,0.94,9,-7.327,0,0.054,0.0716,0.000171,0.133,0.979,137.003,140182,veera,0.9697
6PF9OvMNlndPgJ4ArsJCq3,One Thing Leads To Another,The Fixx,0,5jyYlJdBiy75c2SBe0xq9K,Radio Waves Of The 80's - Pop Hits,2003-01-01,Classic Rock Greatest Hits,6TeyryiZ2UEf3CbLXyztFA,rock,classic rock,0.785,0.948,5,-6.681,0,0.0477,0.185,0.0143,0.156,0.967,136.811,204587,veera,0.9693
50RKxAH1u49WI5BI8AlRaw,Samishii Nettaigyo (Bonus Track) - Remastered 2013,Wink,0,3hF52jDC8X9uDZUbqhSczX,Twin Memories (Remastered 2013),1989-12-01,Japanese Funk/Soul/NEO/Jazz/Acid,4zNayWuATXCAA9gaXvnFnq,r&b,neo soul,0.636,0.954,9,-6.125,0,0.0365,0.395,0.000546,0.043,0.958,121.914,269013,veera,0.9690000000000001
55KhvVzqoaNEgaRTDmu6Zg,Hold the Night,Lyre Le Temps,46,1EWFmpi36vurwa8xRzye8E,Lady Swing,2010-05-17,Electro Swing,3Dr4NKbsFQ2m7tmPxGRroO,edm,electro house,0.727,0.965,11,-4.186,0,0.0909,0.0259,2.29e-06,0.166,0.941,130.023,260307,veera,0.9682999999999999
45PzJFqYNWpJVmd57pbEJO,Instant Funk,Merchant,39,2K2RVDtArhuNOc4HHDQ4oQ,"Beach Diggin’, Vol. 1",2013-06-28,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.693,0.945,11,-8.559,0,0.0676,0.646,0.00259,0.131,0.965,115.364,338000,veera,0.9675
5fq4jxlqyjAVFLOB0lZIdT,25 Horas,Proyecto Uno,54,0zBYmCiHOfrng2FYSeWPUr,25 Horas,2014-05-31,TROPICAL🌴,0TT57Pe3RZNGCy98G1UQpM,latin,tropical,0.724,0.954,4,-5.027,1,0.0493,0.161,0.000637,0.0516,0.952,125.043,247596,veera,0.9672000000000001
1EhDeCHd34jt7dMDqkGQBC,Arrasando,Thalía,54,2PA0R3BGC5ZGCAR6G23sqO,Arrasando,2000-01-01,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.726,0.984,2,-5.949,1,0.0564,0.0515,0.0113,0.663,0.912,131.934,239733,veera,0.9672000000000001
4mT5I3PjPcZXgA0P7SaxI6,Just Another Piano Solo - Original Mix,L'Atelier,39,6TtYslStIf7kMk2Ay4e7IU,The Cobalt EP,2015-04-13,House/Electro/Progressive/Disco/Lofi/Synthwave,42jbIN5Zj0UUPdtmqxQRKF,edm,progressive electro house,0.715,0.942,0,-7.643,1,0.039,0.000908,0.893,0.411,0.968,125.007,308852,veera,0.9672000000000001
28vNCICzMyHB0CluX8mhFz,Comerte a Besos,Danilo Parra,6,0vGLsbFEj5516YMwBZ94je,El Mejor Hombre Del Mundo,2014-10-20,Latin Pop antiguo,4BmnnqWEQAamNoVjtjrQJP,latin,latin pop,0.675,0.955,0,-3.242,1,0.0371,0.173,9.87e-06,0.357,0.949,121.982,171109,veera,0.9666999999999999
0K1XXuhaJBPWMcgjj3ug3u,Las Avispas,Juan Luis Guerra 4.40,50,3bHkIxCLH1CmadBBWuRLxO,Para Ti,2004-01-01,TROPICAL🌴,0TT57Pe3RZNGCy98G1UQpM,latin,tropical,0.814,0.944,4,-2.758,0,0.0532,0.544,7.91e-06,0.0642,0.961,130.082,197333,veera,0.9659
6gQUbFwwdYXlKdmqRoWKJe,Dude (Looks Like A Lady),Aerosmith,70,3XYqOJI1YlX40kJTdzFEzp,Permanent Vacation,1987-01-01,Classic Rock Playlist.,7CESj1xKbxdArRzloygvkl,rock,classic rock,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,265773,veera,0.9658
6gQUbFwwdYXlKdmqRoWKJe,Dude (Looks Like A Lady),Aerosmith,70,3XYqOJI1YlX40kJTdzFEzp,Permanent Vacation,1987-01-01,’80s Hard Rock,37i9dQZF1DX68H8ZujdnN7,rock,hard rock,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37e-05,0.0457,0.91,126.294,265773,veera,0.9658
0docub2BW5HcsWU4WoOQqA,Dude (Looks Like a Lady),Aerosmith,1,0YlgzYfI3a1OrGBBN0wWTG,The Essential Aerosmith,2011-09-13,Hard Rock Classics 1967-1991 (Party Edition),1NIX36ZFWEtgXSbSNghoue,rock,hard rock,0.57,0.963,2,-3.528,1,0.0417,0.0531,7.03e-06,0.0265,0.933,126.222,261827,veera,0.9651000000000001
29SyMC0plk6qw8NMF7lfRL,You Really Got Me - Mono Mix,The Kinks,72,08G3mGQXuHItbbsFAz50gJ,Kinks,1964-10-02,Classic Rock Retrogamer,6gUFdcGzKAHyDXY9TKC6cP,rock,classic rock,0.573,0.939,8,-6.441,1,0.0808,0.493,0.0,0.0994,0.963,137.382,134253,veera,0.9644999999999999
7HKez549fwJQDzx3zLjHKC,Start Me Up - Remastered,The Rolling Stones,76,15XNBzVWARPMlu0sEbfBjJ,Tattoo You (2009 Re-Mastered),1981-08-24,Classic Rock Drive,37i9dQZF1DXdOEFt9ZX0dh,rock,classic rock,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,213067,veera,0.9641
5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,Bob Seger,72,1vhib5WLHRVdOpRjiTHk15,Stranger In Town,1978-05-05,Badass Rock,44bkJI1QGkT2O0GYJSsbkp,rap,southern hip hop,0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,194147,veera,0.964
5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,Bob Seger,72,1vhib5WLHRVdOpRjiTHk15,Stranger In Town,1978-05-05,The Sound of Album Rock,3yj9YnQGTdnFuKbDyXGDi6,rock,album rock,0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,194147,veera,0.964
5EOoMWIB9iK4ZpcSex9Ec7,Old Time Rock & Roll,Bob Seger,72,1vhib5WLHRVdOpRjiTHk15,Stranger In Town,1978-05-05,Classic Rock,5BygwTQ3OrbiwVsQhXFHMz,rock,classic rock,0.714,0.937,6,-2.947,1,0.0399,0.206,0.0,0.0731,0.964,124.13,194147,veera,0.964
0US3WIJMmCH7SU4IdOMish,Diamond Girl,Ballin Entertainment,0,5L1xcowSxwzFUSJzvyMp48,Ultimate Freestyle Mega Mix,2008-04-20,Latin Hip Hop/Freestyle,2MYEUjX0YAI9dxrBDzoCK7,latin,latin hip hop,0.731,0.947,8,-10.651,0,0.0584,0.0527,0.087,0.166,0.947,129.652,170292,veera,0.9629000000000001
7D5k2vI0Kcp84Kso4acpKc,Si o No,Victor Muñoz,38,52UGd9av3ImgY2RaWsthut,Minutos (Edición de Oro),2009,MIX LATIN POP°,6IS6XTdbS9qJZgfjNKgpB8,latin,latin pop,0.75,0.948,5,-4.143,0,0.0459,0.315,0.0,0.0816,0.945,119.948,209947,veera,0.9626999999999999
5EcvzboYmDIfXo9gPplsSB,Brown Sugar,The Rolling Stones,16,1WDA6r4advRJalp0gJCoXv,Sticky Fingers (Deluxe),1971-04-23,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.638,0.931,0,-3.605,1,0.0363,0.228,0.000295,0.0524,0.965,128.662,228667,veera,0.9619
5EcvzboYmDIfXo9gPplsSB,Brown Sugar,The Rolling Stones,16,1WDA6r4advRJalp0gJCoXv,Sticky Fingers (Deluxe),1971-04-23,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.638,0.931,0,-3.605,1,0.0363,0.228,0.000295,0.0524,0.965,128.662,228667,veera,0.9619
5Jk7T3Y4SNdsrC8uaWnHp9,Push Ya Back Out,Shift K3Y,43,1yDDAwvk3OMzNTg8Gf64qu,Push Ya Back Out,2019-11-29,Electro House - by Spinnin' Records,4pVZ70y8vzzkn2GVwQbQw8,edm,electro house,0.825,0.95,10,-3.743,0,0.0615,0.00381,0.0394,0.0276,0.939,126.022,214500,veera,0.9617
2n3CaPGPLYnYAvTEwKCX8t,Mmm Yeah (feat. Pitbull),Austin Mahone,64,0dcqVluuyFBCScCqH7uAwx,The Secret,2014,Post teen pop,7jQHOrErpLMStcUUSavQWR,pop,post-teen pop,0.712,0.922,6,-3.902,0,0.0411,0.00266,1.9e-06,0.268,0.976,125.984,231625,veera,0.9616
1lhpxZT57yw5toGJtt8fGE,Old Time Rock & Roll,Bob Seger,18,3IqhO2ukdUkAs83DzamqIJ,Stranger In Town,1978-05-05,House Of The Rising Sun,1bMYfBHYBCRHY5LGkjlpSy,rock,album rock,0.713,0.931,6,-2.965,1,0.0394,0.219,0.0,0.0694,0.963,124.127,194147,veera,0.9613
1lhpxZT57yw5toGJtt8fGE,Old Time Rock & Roll,Bob Seger,18,3IqhO2ukdUkAs83DzamqIJ,Stranger In Town,1978-05-05,Rock Classics,37i9dQZF1DWXRqgorJj26U,rock,classic rock,0.713,0.931,6,-2.965,1,0.0394,0.219,0.0,0.0694,0.963,124.127,194147,veera,0.9613
